키워드,접촉지점,단계,유형,근거
"두피건선샴푸",5-카테고리,5,카테고리,"질환+샴푸 카테고리, 브랜드 없음"
"두피에뾰루지",3-증상,3,증상,"두피 뾰루지 증상 상태"
"지루성두피염병원",4-대안,4,대안,"채널(병원)+질환, 해결방법 탐색"
"약산성샴푸",5-카테고리,5,카테고리,"속성/성분군 일반어 샴푸 카테고리"
"청소년샴푸",5-카테고리,5,카테고리,"대상군 샴푸 카테고리, 브랜드 없음"
"이브로쉐샴푸",5-브랜드제품,5,브랜드제품,"특정 브랜드(이브로쉐)명"
"비듬케어샴푸",5-카테고리,5,카테고리,"비듬케어 카테고리 샴푸, 케어=방법성이라 4/5 애매"
"니조랄액",5-브랜드제품,5,브랜드제품,"브랜드(니조랄) 제품형태(액)"
"두피염증샴푸",5-카테고리,5,카테고리,"증상+샴푸 카테고리, 브랜드 없음"
"아로마티카샴푸바",5-브랜드제품,5,브랜드제품,"브랜드(아로마티카) 제품(샴푸바)"
"지루성두피샴푸추천",5-카테고리,5,카테고리,"질환 카테고리+추천, 브랜드 없음"
"볼빅샴푸",5-브랜드제품,5,브랜드제품,"특정 브랜드(볼빅)명"
"두피간지러움",3-증상,3,증상,"가려움 증상 단독"
"두피진정",4-대안,4,대안,"두피진정 단독=방법/케어 탐색"
"어성초샴푸",5-카테고리,5,카테고리,"성분 카테고리 샴푸(어성초), 브랜드 아님"
"건조한두피샴푸",5-카테고리,5,카테고리,"두피상태+샴푸 카테고리"
"건성두피",3-증상,3,증상,"두피타입/상태 단독"
"케라스타즈샴푸",5-브랜드제품,5,브랜드제품,"특정 브랜드(케라스타즈)명"
"머리비듬",3-증상,3,증상,"비듬 증상 상태어"
"지루성두피염약",4-대안,4,대안,"~약=치료제, 일반 해결수단"
"두피케어샴푸",5-카테고리,5,카테고리,"두피케어 카테고리 샴푸, 브랜드 없음"
"두피건조각질",3-증상,3,증상,"건조+각질 증상 상태"
"두피뾰루지샴푸",5-카테고리,5,카테고리,"증상+샴푸 카테고리, 브랜드 없음"
"두피가려움원인",3-증상,3,증상,"증상+원인 검색, 해결수단 없음"
"노비프록스샴푸가격",5-브랜드제품,5,브랜드제품,"노비프록스=약물 브랜드명+가격, 특정제품"
"바이브랩앰플",5-브랜드제품,5,브랜드제품,"바이브랩 브랜드+앰플 제품"
"더모베이트액",5-브랜드제품,5,브랜드제품,"더모베이트=약물 브랜드명, 특정제품"
"헤드앤숄더스트렝스",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드+스트렝스 제품라인"
"노비프록스가격",5-브랜드제품,5,브랜드제품,"노비프록스=약물 브랜드명+가격"
"지루성두피",3-증상,3,증상,"질환/두피상태 단독, 해결수단 없음"
"두피딱지",3-증상,3,증상,"두피+증상(딱지) 단독"
"머리가려움",3-증상,3,증상,"머리+증상(가려움) 단독"
"두피지루성피부염",3-증상,3,증상,"질환명 단독, 해결수단 없음"
"모다모다샴푸부작용",5-브랜드제품,5,브랜드제품,"모다모다 브랜드+부작용"
"머리가려움샴푸",5-카테고리,5,카테고리,"증상+샴푸, 브랜드 없는 카테고리"
"홍현희샴푸",5-브랜드제품,5,브랜드제품,"홍현희=브랜드+샴푸"
"청미정샴푸",5-브랜드제품,5,브랜드제품,"청미정=브랜드+샴푸"
"벤티샴푸",5-브랜드제품,5,브랜드제품,"벤티=브랜드+샴푸"
"두피모낭염샴푸",5-카테고리,5,카테고리,"증상/질환+샴푸, 브랜드 없는 카테고리"
"머리비듬없애는법",4-대안,4,대안,"없애는법=방법 탐색, 특정제품 없음"
"두피진정샴푸",5-카테고리,5,카테고리,"두피상태+샴푸, 브랜드 없는 카테고리"
"아로마티카토닉",5-브랜드제품,5,브랜드제품,"아로마티카 브랜드+토닉 제품"
"클리니컬스트렝스",5-브랜드제품,5,브랜드제품,"헤드앤숄더 제품라인명"
"항진균비누",4-대안,4,대안,"항진균=일반성분/약물성분, 브랜드 아님"
"알칼리성샴푸",5-카테고리,5,카테고리,"속성/성분군 샴푸 일반어 카테고리"
"두피건선",3-증상,3,증상,"질환명 단독, 해결수단 없음"
"두피모낭염",3-증상,3,증상,"두피+증상/상태(모낭염) 단독"
"미용실샴푸",5-카테고리,5,카테고리,"채널/속성 샴푸 일반어 카테고리"
"블랙샴푸",5-카테고리,5,카테고리,"속성/성분군 샴푸 일반어 카테고리"
"두피비듬",3-증상,3,증상,"두피+증상(비듬) 단독"
"두피치료",4-대안,4,대안,"치료=방법 탐색이나 증상/방법 애매"
"두피염증병원",4-대안,4,대안,"병원+증상, 치료채널 탐색"
"지루성피부염샴푸",5-카테고리,5,카테고리,"질환+샴푸, 브랜드 없는 카테고리"
"토소웅샴푸",5-브랜드제품,5,브랜드제품,"토소웅은 확정 브랜드, 브랜드+샴푸는 5-브랜드제품"
"다비네스샴푸",5-브랜드제품,5,브랜드제품,"다비네스는 확정 브랜드, 브랜드+샴푸는 5-브랜드제품"
"아윤채샴푸1000ML",5-브랜드제품,5,브랜드제품,"아윤채 브랜드+용량(1000ML)은 5-브랜드제품"
"설페이트프리샴푸",5-카테고리,5,카테고리,"속성/성분군 일반어 샴푸, 브랜드 없는 카테고리"
"어린이비듬샴푸",5-카테고리,5,카테고리,"어린이(연령군)+비듬+샴푸, 브랜드 없는 카테고리샴푸"
"두피쿨링샴푸",5-카테고리,5,카테고리,"두피상태/속성+샴푸, 브랜드 없는 카테고리샴푸"
"니조랄케토코나졸",5-브랜드제품,5,브랜드제품,"니조랄=브랜드, 성분명 병기지만 브랜드 포함이므로 5-브랜드제품"
"두피가려움증샴푸",5-카테고리,5,카테고리,"증상(가려움증)+샴푸, 브랜드 없는 카테고리샴푸"
"지성샴푸",5-카테고리,5,카테고리,"두피타입(지성)+샴푸, 브랜드 없는 카테고리샴푸"
"라우쉬샴푸",5-브랜드제품,5,브랜드제품,"라우쉬는 확정 브랜드, 브랜드+샴푸는 5-브랜드제품"
"지루성두피염치료",4-대안,4,대안,"질환+치료=해결방법 탐색, 제품/브랜드 없음"
"바이브랩샴푸",5-브랜드제품,5,브랜드제품,"바이브랩은 확정 브랜드, 브랜드+샴푸는 5-브랜드제품"
"두피진단",4-대안,4,대안,"두피진단은 해결 위한 방법/절차 탐색, 제품 없음"
